UI GOLDEN BEGIN
scene|battle|name|Battle
battle|step27|enemy2|32/32
battle|step27|mp|3000
battle|step28|party1|67/67
battle|step28|enemy1|12/12
battle|step28|enemy2|32/32
battle|step28|mp|3000
battle|step29|party1|67/67
battle|step29|enemy1|12/12
battle|step29|enemy2|32/32
battle|step29|mp|3000
battle|step30|party1|67/67
battle|step30|enemy1|12/12
battle|step30|enemy2|32/32
battle|step30|mp|3000
battle|step31|party1|67/67
battle|step31|enemy1|12/12
battle|step31|enemy2|32/32
battle|step31|mp|3000
battle|step32|party1|67/67
battle|step32|enemy1|12/12
battle|step32|enemy2|32/32
battle|step32|mp|3000
battle|step33|party1|67/67
battle|step33|enemy1|12/12
battle|step33|enemy2|32/32
battle|step33|mp|3000
battle|step34|party1|67/67
battle|step34|enemy1|12/12
battle|step34|enemy2|32/32
battle|step34|mp|3000
battle|step35|party1|67/67
battle|step35|enemy1|12/12
battle|step35|enemy2|32/32
battle|step35|mp|3000
battle|step36|party1|67/67
battle|step36|enemy1|12/12
battle|step36|enemy2|32/32
battle|step36|mp|3000
battle|step37|party1|67/67
battle|step37|enemy1|12/12
battle|step37|enemy2|32/32
battle|step37|mp|3000
battle|step38|party1|67/67
battle|step38|enemy1|12/12
battle|step38|enemy2|32/32
battle|step38|mp|3000
battle|step39|party1|67/67
battle|step39|enemy1|12/12
battle|step39|enemy2|32/32
battle|step39|mp|3000
battle|step40|party1|67/67
battle|step40|enemy1|12/12
battle|step40|enemy2|32/32
battle|step40|mp|3000
battle|step41|party1|67/67
battle|step41|enemy1|12/12
battle|step41|enemy2|32/32
battle|step41|mp|3000
battle|step42|party1|67/67
battle|step42|enemy1|12/12
battle|step42|enemy2|32/32
battle|step42|mp|3000
battle|step43|party1|67/67
battle|step43|enemy1|12/12
battle|step43|enemy2|32/32
battle|step43|mp|3000
battle|step44|party1|51/67
battle|step44|enemy1|2/12
battle|step44|enemy2|32/32
battle|step44|mp|3000
battle|step45|party1|48/67
battle|step45|enemy1|0/12
battle|step45|enemy2|32/32
battle|step45|mp|3000
battle|step46|party1|48/67
battle|step46|enemy1|0/12
battle|step46|enemy2|32/32
battle|step46|mp|3000
battle|step47|party1|48/67
battle|step47|enemy1|0/12
battle|step47|enemy2|32/32
battle|step47|mp|3000
battle|step48|party1|48/67
battle|step48|enemy1|0/12
battle|step48|enemy2|32/32
battle|step48|mp|3000
battle|step49|party1|48/67
battle|step49|enemy1|0/12
battle|step49|enemy2|32/32
battle|step49|mp|3000
battle|step50|party1|48/67
battle|step50|enemy1|0/12
battle|step50|enemy2|32/32
battle|step50|mp|3000
battle|step51|party1|48/67
battle|step51|enemy1|0/12
battle|step51|enemy2|32/32
battle|step51|mp|3000
battle|step52|party1|48/67
battle|step52|enemy1|0/12
battle|step52|enemy2|32/32
battle|step52|mp|3000
battle|step53|party1|48/67
battle|step53|enemy1|0/12
battle|step53|enemy2|32/32
battle|step53|mp|3000
battle|step54|party1|48/67
battle|step54|enemy1|0/12
battle|step54|enemy2|32/32
battle|step54|mp|3000
battle|step55|party1|48/67
battle|step55|enemy1|0/12
battle|step55|enemy2|32/32
battle|step55|mp|3000
battle|step56|party1|48/67
battle|step56|enemy1|0/12
battle|step56|enemy2|32/32
battle|step56|mp|3000
battle|step57|party1|48/67
battle|step57|enemy1|0/12
battle|step57|enemy2|32/32
battle|step57|mp|3000
battle|step58|party1|48/67
battle|step58|enemy1|0/12
battle|step58|enemy2|32/32
battle|step58|mp|3000
battle|step59|party1|48/67
battle|step59|enemy1|0/12
battle|step59|enemy2|32/32
battle|step59|mp|3000
battle|step60|party1|48/67
battle|step60|enemy1|0/12
battle|step60|enemy2|32/32
battle|step60|mp|3000
UI GOLDEN END
